K,seed,bic_rep,aic_rep,log_lik_rep,bic_w,aic_w,log_lik_w,n_eff,flow_within,flow_between,min_sys_frac,silhouette,n_edges,n_params,converged
4,18,305738.211659718,305246.7592091758,-152564.3796045879,3175.908696166772,2839.3726566881223,-1360.6863283440612,2217.200557812128,61.96169278763989,38.03830721236011,10.017473327368904,,10551,59,True
4,19,305721.10415699246,305229.65170645027,-152555.82585322513,3175.617145626658,2839.081106148008,-1360.540553074004,2217.200557812128,62.375740543680756,37.624259456319244,10.017473327368903,,10551,59,True
5,0,300955.6464745613,300339.24848574563,-150095.62424287281,3244.1995769325295,2822.103527416935,-1337.0517637084674,2217.200557812128,60.12623277637608,39.87376722362392,7.264850210992037,,10551,74,True
5,1,300950.6279105963,300334.22992178064,-150093.11496089032,3244.1619104683978,2822.065860952803,-1337.0329304764016,2217.200557812128,60.1262327763761,39.8737672236239,7.264850210992035,,10551,74,True
5,2,302084.62541253585,301468.2274237202,-150660.1137118601,3255.480379801615,2833.3843302860205,-1342.6921651430102,2217.200557812128,56.03962420800972,43.96037579199028,5.686782931226206,,10551,74,True
5,3,300949.9571619946,300333.5591731789,-150092.77958658946,3244.0887614695184,2821.992711953924,-1336.996355976962,2217.200557812128,60.12623277637608,39.87376722362392,7.264850210992035,,10551,74,True
5,4,301331.96488633356,300715.5668975179,-150283.78344875894,3249.4925303956356,2827.396480880041,-1339.6982404400205,2217.200557812128,58.165232031588474,41.834767968411526,6.327654612492816,,10551,74,True
5,5,300946.3170134011,300329.9190245854,-150090.9595122927,3244.0780188126328,2821.981969297038,-1336.990984648519,2217.200557812128,60.12623277637608,39.87376722362392,7.264850210992035,,10551,74,True
5,6,300946.0939693278,300329.69598051213,-150090.84799025606,3244.074657253454,2821.9786077378594,-1336.9893038689297,2217.200557812128,60.12623277637608,39.87376722362392,7.264850210992035,,10551,74,True
5,7,302585.3315429197,301968.933554104,-150910.466777052,3259.1745165601337,2837.078467044539,-1344.5392335222696,2217.200557812128,53.349493514406355,46.650506485593645,2.389357459669789,,10551,74,True
5,8,302080.4820441685,301464.08405535284,-150658.04202767642,3255.406118174436,2833.3100686588414,-1342.6550343294207,2217.200557812128,56.03962420800972,43.96037579199028,5.686782931226207,,10551,74,True
5,9,300946.43766805186,300330.0396792362,-150091.0198396181,3244.1084853662364,2822.012435850642,-1337.006217925321,2217.200557812128,60.12623277637608,39.87376722362392,7.264850210992035,,10551,74,True
5,10,302083.2300839776,301466.83209516195,-150659.41604758098,3255.466103065122,2833.3700535495273,-1342.6850267747636,2217.200557812128,56.03962420800972,43.96037579199028,5.686782931226206,,10551,74,True
5,11,300947.890831489,300331.4928426733,-150091.74642133666,3244.113880629207,2822.0178311136124,-1337.0089155568062,2217.200557812128,60.12623277637608,39.87376722362392,7.264850210992035,,10551,74,True
5,12,301236.35849023017,300619.9605014145,-150235.98025070725,3248.9405334405333,2826.8444839249387,-1339.4222419624693,2217.200557812128,59.129453249024486,40.870546750975514,4.060714304591191,,10551,74,True
5,13,300951.61829468445,300335.2203058688,-150093.6101529344,3244.093456350228,2821.9974068346332,-1336.9987034173166,2217.200557812128,60.126232776376064,39.873767223623936,7.264850210992035,,10551,74,True
5,14,300949.92333567486,300333.5253468592,-150092.7626734296,3244.165079493331,2822.0690299777366,-1337.0345149888683,2217.200557812128,60.126232776376064,39.873767223623936,7.264850210992035,,10551,74,True
5,15,300958.31666474475,300341.9186759291,-150096.95933796454,3244.1581081377444,2822.06205862215,-1337.031029311075,2217.200557812128,60.22061524007051,39.77938475992949,7.264850210992037,,10551,74,True
