source,destination,w,n_obs
47-2181,21-2011,1530.4393,1
47-2181,31-9092,468.6113,1
47-2181,35-3031,4998.3007,1
47-2181,35-9011,4764.0819,1
47-2181,35-9031,436.5611,1
47-2181,37-1012,4569.4573,1
47-2181,41-1011,1301.5076,1
47-2181,41-3091,8894.645700000001,2
47-2181,43-1011,3898.5312,1
47-2181,43-4051,6496.0487,1
47-2181,43-5021,4974.855100000001,2
47-2181,47-1011,27439.5436,7
47-2181,47-2031,33978.068400000004,9
47-2181,47-2061,107526.34820000001,34
47-2181,47-2073,4543.1271,1
47-2181,47-2121,5733.4567,1
47-2181,47-2141,2644.0964,1
47-2181,47-2211,6138.5731,2
47-2181,47-4051,6142.211,1
47-2181,49-3023,3418.0972,1
47-2181,49-3031,5699.9744,1
47-2181,49-9021,5981.8742999999995,2
47-2181,49-9044,6614.2075,1
47-2181,49-9071,8830.8043,2
47-2181,51-1011,542.9039,1
47-2181,51-4031,2291.7122,1
47-2181,51-4199,5765.7961,1
47-2181,51-9111,4433.5037,1
47-2181,53-7051,4623.0851,1
47-2181,53-7061,3215.8891,1
47-2181,53-7062,28223.9732,8
47-2181,53-7064,16791.291,4
47-2181,53-7065,4902.1071,1
47-2211,11-1021,1812.4545,1
47-2211,11-9021,13400.362799999999,2
47-2211,13-1199,3869.2149,1
47-2211,15-1253,4395.0736,1
47-2211,17-3031,3564.4429,1
47-2211,21-2011,2276.4369,1
47-2211,35-3041,6208.1816,1
47-2211,39-9011,3494.3972,1
47-2211,41-1011,3862.9786,1
47-2211,41-1012,4362.8898,1
47-2211,41-2031,3566.6674,1
47-2211,41-3031,3230.617,1
47-2211,43-1011,1915.0833,1
47-2211,47-1011,15295.546,5
47-2211,47-2031,20542.898699999998,6
47-2211,47-2061,19566.0933,6
47-2211,47-4051,702.6479,1
47-2211,49-3011,4830.0222,1
47-2211,49-3031,2137.1788,1
47-2211,49-9021,52172.4008,11
47-2211,49-9044,7177.0117,2
47-2211,49-9051,2367.5441,1
47-2211,49-9071,6016.7388,1
47-2211,51-1011,5000.7575,2
47-2211,51-2041,3703.1346,1
47-2211,51-4031,4959.6798,2
47-2211,51-4041,4891.5031,1
47-2211,51-4199,15799.688600000001,4
47-2211,51-6021,5031.1897,1
47-2211,53-7062,19936.5972,6
47-2211,53-7064,3383.1312,1
47-2221,13-1023,4670.3997,1
47-2221,19-4031,1478.8871,1
47-2221,41-2031,6063.333,1
47-2221,43-5053,5197.1101,1
47-2221,47-2031,7656.741,2
47-2221,47-2061,9597.8656,3
47-2221,47-2111,5469.5228,1
47-2221,47-4051,1511.667,1
47-2221,51-2041,1636.0257,1
47-2221,51-4031,8689.6492,2
47-2221,51-4199,3329.16,1
47-2221,51-9061,5078.0832,1
47-2221,53-7062,4211.1557,1
47-2221,53-7065,4962.7486,1
47-4011,11-9021,8636.7173,3
47-4011,11-9111,3052.3393,1
47-4011,11-9141,4913.2818,1
47-4011,11-9151,6499.8508,1
47-4011,13-1041,8481.1419,3
47-4011,13-1051,8089.811900000001,2
47-4011,13-1199,1608.3452,1
47-4011,13-2011,11781.218799999999,2
47-4011,17-2051,3590.4121,1
47-4011,31-1122,13625.1626,2
47-4011,33-3051,3935.9929,1
47-4011,37-1011,1290.8721,1
47-4011,41-1011,527.3108,1
47-4011,41-2031,3639.8725,1
47-4011,41-3091,13505.528600000001,3
47-4011,43-3031,2716.0585,1
47-4011,43-4051,9007.1598,2
47-4011,47-1011,4416.2783,1
47-4011,47-2031,4810.7515,1
47-4011,47-2061,8347.2663,4
47-4011,47-2073,583.9364,1
47-4011,47-2181,3182.3131,1
47-4011,49-3023,3174.7151,1
47-4011,51-9061,52930.1706,14
47-4011,51-9111,6522.5239,1
47-4011,53-7062,1026.0804,1
47-4021,11-1021,836.8752,1
47-4021,11-9041,3949.4617,1
47-4021,37-1011,4589.2362,1
47-4021,47-2073,4345.6652,1
47-4021,47-2121,1837.817,1
47-4021,49-3023,1067.2648,1
47-4021,49-9071,8811.5322,2
47-4021,51-1011,851.5851,1
47-4021,53-7062,1449.3769,1
47-4031,11-3031,725.4625,1
47-4031,11-3061,3857.7644,1
47-4031,11-9021,6730.2146999999995,2
47-4031,13-1051,2350.9307,1
47-4031,37-2012,6566.8362,2
47-4031,41-2031,3935.7058,1
47-4031,43-9061,3204.4629,2
47-4031,47-1011,4086.0585,2
47-4031,47-2031,7567.0702,2
47-4031,47-2061,45554.3174,10
47-4031,47-5023,1426.4021,1
47-4031,51-4041,2845.6553,1
47-4031,53-7051,5232.2671,1
47-4031,53-7065,4014.7982,1
47-4041,11-3031,2253.176,1
47-4041,11-3051,4107.2027,1
47-4041,13-2011,2531.6001,1
47-4041,43-1011,7983.202,1
47-4041,43-3031,5326.5725,1
47-4041,47-2061,13809.903299999998,3
47-4041,47-2073,5932.8694,1
47-4041,51-4199,6136.5526,1
47-4041,51-9061,12220.5284,2
47-4051,11-1021,525.6142,1
47-4051,11-3071,4917.7093,1
47-4051,11-9021,11096.09,3
47-4051,11-9141,530.7435,1
47-4051,33-9091,3918.4378,1
47-4051,37-1012,3620.382,1
47-4051,43-1011,502.6949,1
47-4051,43-9199,656.6358,1
47-4051,47-1011,4589.892,1
47-4051,47-2061,50290.847,17
47-4051,47-2073,40258.7322,16
47-4051,47-2141,4677.9982,1
47-4051,49-1011,421.0251,1
47-4051,49-9071,12187.552499999998,3
47-4051,51-2041,5458.153,1
47-4051,51-4199,3204.1136,1
47-4051,51-8021,1530.2441,1
47-4051,51-9061,3977.3051,1
47-4051,53-3099,3937.9753,1
47-4051,53-7062,12213.1245,3
47-4051,53-7064,5280.5766,1
47-4061,47-1011,4146.5078,1
47-4061,49-3023,4770.8761,1
47-4061,49-9051,8107.6776,1
47-4061,49-9071,464.0448,1
47-4061,51-4199,610.4346,1
47-4061,53-6061,7115.1363,1
47-5023,11-1021,1386.0631,1
47-5023,11-9021,1975.2433,1
47-5023,13-2052,4716.607,1
47-5023,43-9199,2980.0367,1
47-5023,47-1011,7507.7946,2
47-5023,47-2073,28370.1569,8
47-5023,49-9021,5261.6006,1
47-5023,51-9198,11184.5874,1
47-5023,53-7021,6790.2043,1
47-5023,53-7041,3043.4207,1
47-5023,53-7062,1860.7758,1
49-1011,11-1021,11927.233,3
49-1011,11-3021,4811.8424,2
49-1011,11-3031,4663.4596,1
49-1011,11-3051,4253.151,1
49-1011,11-3071,1276.1118,1
49-1011,11-3131,1143.2428,1
49-1011,11-9013,8053.808800000001,2
49-1011,11-9021,1975.3798,1
49-1011,11-9041,5395.4572,1
49-1011,11-9051,3932.4638,1
49-1011,11-9141,20413.2271,6
49-1011,13-1131,3392.9657,1
49-1011,13-1151,1364.8092,1
49-1011,13-1199,4246.4213,1
49-1011,13-2052,6560.6722,1
49-1011,15-1244,4381.7807,1
49-1011,15-1253,8970.484199999999,2
49-1011,17-2199,4989.3398,1
49-1011,23-1011,2578.3891,1
49-1011,35-3011,7157.5819,3
49-1011,35-3031,4291.3292,1
49-1011,37-1011,8826.786,3
49-1011,37-1012,14489.3884,3
49-1011,37-2012,8907.2095,2
49-1011,41-1011,34527.5288,8
49-1011,41-1012,27007.4625,6
49-1011,41-2031,8635.533599999999,2
49-1011,43-1011,34246.6089,8
49-1011,43-4171,3424.0767,1
49-1011,43-5061,768.3309,1
49-1011,43-9061,4511.7966,1
49-1011,43-9199,3430.6131,1
49-1011,47-1011,34280.7708,12
49-1011,47-2061,9726.7981,3
49-1011,47-2111,4348.6762,1
49-1011,47-2141,4643.7792,2
49-1011,47-4051,1525.8539,1
49-1011,49-3011,5649.6865,2
49-1011,49-3021,3092.5305,1
49-1011,49-3023,6656.8197,3
49-1011,49-3031,3267.5501999999997,2
49-1011,49-9021,2638.203,1
49-1011,49-9043,5663.822099999999,2
49-1011,49-9051,4914.7939,1
49-1011,49-9071,32369.1341,11
49-1011,49-9094,3650.5256,1
49-1011,51-1011,13516.6417,7
49-1011,51-8021,707.987,1
49-1011,51-8031,3702.5299,1
49-1011,51-9061,6288.8254,2
49-1011,53-7061,4645.5659,1
49-1011,53-7062,8865.1505,3
49-2011,11-3021,8888.2673,2
49-2011,11-3031,5636.3158,1
49-2011,11-9013,2917.076,1
49-2011,11-9021,4379.8155,1
49-2011,11-9051,7065.5362,1
49-2011,13-1111,3394.9253,1
49-2011,13-1199,5443.4457,1
49-2011,15-1211,8086.7222,2
49-2011,15-1251,18825.2856,4
49-2011,15-1253,131511.782,38
49-2011,15-1254,6885.9969,1
49-2011,15-2031,1963.375,1
49-2011,17-2011,5650.7027,1
49-2011,17-2061,3724.5716,1
49-2011,17-2141,5559.9939,1
49-2011,17-2199,6364.0246,2
49-2011,17-3031,420.7375,1
49-2011,29-2061,4389.9172,1
49-2011,35-9021,1470.1584,1
49-2011,39-9011,3301.1464,1
49-2011,41-1011,4953.2068,1
49-2011,41-2021,4204.2114,1
49-2011,41-2031,4185.5189,1
49-2011,41-3091,4171.7732,2
49-2011,43-3031,1735.9037,1
49-2011,43-4031,4360.3741,1
49-2011,43-4051,4423.1359,1
49-2011,43-9021,2237.8324,1
49-2011,47-1011,7085.9738,1
49-2011,47-2031,4451.5216,2
49-2011,47-2061,7590.3308,2
49-2011,49-2092,4904.7857,1
49-2011,49-2097,4223.3205,1
49-2011,49-3011,4838.955599999999,2
49-2011,49-9031,1231.0395,1
49-2011,49-9052,5995.4456,1
49-2011,49-9071,25952.876,8
49-2011,49-9091,12750.5513,2
49-2011,51-9061,5585.8613,1
49-2011,53-7062,1077.8299,1
49-2091,13-1199,5391.3599,1
49-2091,17-2011,4618.2593,1
49-2091,47-2111,4068.1824,1
49-2091,49-2092,3952.8172,1
49-2091,49-3011,12614.2791,2
49-2091,49-9021,3359.6843,1
49-2092,11-9013,2308.9712,1
49-2092,17-2011,4034.8955,1
49-2092,47-2031,4583.6025,1
49-2092,47-2111,15945.8858,6
49-2092,49-3023,1246.5617,1
49-2092,49-9031,3569.9434,1
49-2092,49-9071,11278.337599999999,5
49-2092,51-2041,4443.2444,1
49-2092,51-4041,4217.2249,1
49-2092,51-8021,4310.447,1
49-2092,53-7041,2121.0295,1
49-2097,11-1011,4049.0059,1
49-2097,11-1021,1075.6426,1
49-2097,15-1253,7343.6937,2
49-2097,17-2051,5722.1929,1
49-2097,35-1011,10092.3821,1
49-2097,47-2061,5329.8928,1
49-2097,49-9052,8474.063999999998,2
49-2097,49-9071,2168.2425,1
49-2097,51-9195,973.8,1
49-2097,53-7062,3668.8962,1
49-2097,53-7081,4815.4922,1
49-2098,11-3071,4000.7379,1
49-2098,13-1199,394.5121,1
49-2098,15-1253,6761.992,2
49-2098,35-3031,5034.6644,1
49-2098,37-1012,6645.3671,1
49-2098,41-1011,4091.612,1
49-2098,41-2031,2208.663,1
49-2098,43-4051,1025.4453,1
49-2098,47-2061,8743.6802,2
49-2098,47-2111,5203.1645,2
49-2098,49-3021,1364.8403,1
49-2098,53-7062,6225.9131,1
49-2098,53-7065,3823.9986,1
49-3011,11-1011,2120.2653,1
49-3011,11-9021,1423.4027,1
49-3011,11-9041,5327.1737,1
49-3011,13-1199,9516.015599999999,3
49-3011,15-1251,4439.4265,1
49-3011,17-2011,4129.2961,1
49-3011,21-1093,358.9865,1
49-3011,29-1122,5945.3708,1
49-3011,41-1011,1901.2631000000001,2
49-3011,41-2031,4979.3701,1
49-3011,43-3031,581.0078,1
49-3011,43-4051,5513.5166,1
49-3011,43-4181,5136.0026,1
49-3011,43-5071,4545.3946,1
49-3011,43-9061,391.3651,1
49-3011,47-2031,6640.0586,2
49-3011,47-2061,9121.2659,2
49-3011,47-2111,1032.7195,1
49-3011,47-2211,2081.2218,1
49-3011,49-1011,3548.5847000000003,2
49-3011,49-2011,4146.987,1
49-3011,49-2091,10424.7942,3
49-3011,49-3031,4940.194,1
49-3011,49-9021,6574.0352,2
49-3011,49-9071,9583.3035,2
49-3011,51-1011,4315.7867,2
49-3011,51-4041,5100.4378,1
49-3011,51-6031,3747.3204,1
49-3011,51-9061,7509.9365,3
49-3011,53-3099,4171.8332,1
49-3011,53-6051,578.1434,1
49-3011,53-7061,8578.7945,1
49-3011,53-7062,3127.0548,1
49-3011,53-7063,1223.9784,1
49-3021,13-1051,3698.165,1
49-3021,29-1123,2030.0293,1
49-3021,33-3051,6269.3289,1
49-3021,41-1011,4876.5573,1
49-3021,41-1012,19648.686800000003,4
49-3021,41-2022,5518.6278,1
49-3021,41-2031,7556.1025,2
49-3021,43-4051,5830.7639,2
49-3021,43-4171,615.8412,1
49-3021,43-5021,3948.9755,1
49-3021,47-2031,6173.0852,1
49-3021,47-2061,6431.0008,2
49-3021,47-2141,4225.125,2
49-3021,49-2011,7813.5889,1
49-3021,49-3023,137348.9317,34
49-3021,49-9098,3966.4515,1
49-3021,51-1011,5491.4119,1
49-3021,51-3092,6412.2632,1
49-3021,51-3099,5534.5481,1
49-3021,51-4041,4656.9779,1
49-3021,51-9061,2449.5545,1
49-3021,53-7061,9411.703099999999,2
49-3021,53-7062,6076.8115,2
49-3021,53-7064,4629.2689,1
49-3021,53-7065,4387.9124,1
49-3022,15-2031,540.9431,1
49-3022,41-1012,4856.6871,2
49-3022,43-4171,1438.0367,1
49-3022,43-5021,5322.8487,1
49-3022,47-2031,11355.8352,2
49-3022,47-2121,6827.5493,2
49-3022,49-3023,8796.033599999999,2
49-3023,11-1011,2985.94,2
49-3023,11-1021,11616.2958,3
49-3023,11-3021,3044.0889,1
49-3023,11-3051,9938.9516,2
49-3023,11-3131,3388.1118,1
49-3023,11-9021,13911.2,3
49-3023,11-9041,4306.8386,1
49-3023,11-9111,4286.6363,1
49-3023,11-9141,1846.0167,1
49-3023,13-1111,1026.3857,1
49-3023,13-1151,2380.0285,1
49-3023,13-1199,5503.6737,1
49-3023,15-1253,13618.0694,3
49-3023,17-2141,3127.0548,1
49-3023,17-2199,5058.8168,1
49-3023,21-2011,3783.9605,1
49-3023,29-1071,4912.0147,1
49-3023,31-1122,6196.0463,1
49-3023,33-3051,3974.5786,1
49-3023,35-1012,4134.6371,1
49-3023,35-3011,4880.9501,2
49-3023,35-3031,7018.8064,2
49-3023,35-3041,5028.26,1
49-3023,35-9031,565.0681,1
49-3023,37-2012,23262.931099999998,4
49-3023,39-5011,5401.0382,1
49-3023,41-1011,16482.9014,4
49-3023,41-1012,35494.5992,13
49-3023,41-2021,2307.2699,1
49-3023,41-2022,11367.8901,3
49-3023,41-2031,54188.4033,13
49-3023,41-3091,4397.6038,1
49-3023,41-9099,22700.4235,3
49-3023,43-1011,1572.1567,1
49-3023,43-3031,16070.322,3
49-3023,43-3051,4598.5237,1
49-3023,43-3099,411.7747,1
49-3023,43-4051,12366.048999999999,5
49-3023,43-4081,6623.8809,2
49-3023,43-4111,3131.2065,1
49-3023,43-4131,6470.7981,2
49-3023,43-4171,6733.285400000001,2
49-3023,43-5021,12584.5857,2
49-3023,43-5052,1711.5573,1
49-3023,43-5061,5002.3199,2
49-3023,43-5071,14119.807700000001,3
49-3023,43-9061,13894.8096,4
49-3023,47-1011,2468.844,1
49-3023,47-2031,33020.8076,7
49-3023,47-2061,57963.0197,19
49-3023,47-2073,10798.8764,3
49-3023,47-2111,11656.6754,3
49-3023,47-2141,14694.065200000001,4
49-3023,47-2181,3126.0195,1
49-3023,47-2211,3476.2465,2
49-3023,47-4021,1029.1713,1
49-3023,49-1011,6280.714999999999,2
49-3023,49-2011,4128.2491,1
49-3023,49-2092,485.7418,1
49-3023,49-2097,4115.8177,1
49-3023,49-3021,120615.8625,33
49-3023,49-3031,107287.5103,36
49-3023,49-9021,6479.4055,2
49-3023,49-9052,2465.3545,1
49-3023,49-9071,88290.2637,27
49-3023,49-9094,7400.4244,2
49-3023,49-9098,13770.0072,3
49-3023,51-1011,22632.3538,6
49-3023,51-3011,4947.3052,2
49-3023,51-3091,1262.5856,1
49-3023,51-3099,3931.0456,1
49-3023,51-4021,8475.2569,1
49-3023,51-4031,3680.3809,1
49-3023,51-4041,1736.5963,1
49-3023,51-4199,9085.0535,2
49-3023,51-7041,6651.9146,1
49-3023,51-9061,34388.5819,11
49-3023,51-9111,4058.9266,1
49-3023,51-9195,4965.5467,1
49-3023,51-9197,3220.2669,1
49-3023,53-3099,6224.3027,2
49-3023,53-6031,36249.342599999996,8
49-3023,53-6051,2507.5491,1
49-3023,53-7051,1480.7617,1
49-3023,53-7061,9202.1045,4
49-3023,53-7062,34632.9299,8
49-3023,53-7064,19259.7724,4
49-3023,53-7065,22809.6547,6
49-3023,53-7081,3780.2111,1
49-3031,11-1021,5499.2396,1
49-3031,11-3071,573.0918,1
49-3031,11-9141,4627.4301,2
49-3031,13-1151,4167.6973,1
49-3031,13-1199,749.8785,1
49-3031,13-2051,1044.634,1
49-3031,17-2051,1866.5091,1
49-3031,17-2121,1871.822,1
49-3031,19-2099,1045.8962,1
49-3031,29-1141,1462.4991,1
49-3031,33-2011,6438.366099999999,2
49-3031,35-2021,6956.7551,2
49-3031,39-4031,2090.7857,1
49-3031,41-1011,3626.1518,2
49-3031,41-1012,2343.6429,2
49-3031,41-2022,4373.9537,1
49-3031,41-2031,15873.8664,4
49-3031,43-1011,5025.741,1
49-3031,43-4051,4876.8918,1
49-3031,43-5021,5541.7764,1
49-3031,43-9021,6735.9321,1
49-3031,47-2031,4766.180200000001,2
49-3031,47-2061,15176.108100000001,4
49-3031,47-2073,4415.6234,1
49-3031,47-5023,5762.0521,1
49-3031,49-1011,5607.5511,1
49-3031,49-2098,3544.3975,1
49-3031,49-3021,7236.507799999999,2
49-3031,49-3023,121732.3029,38
49-3031,49-9021,4723.646,1
49-3031,49-9051,4948.5264,1
49-3031,49-9052,4634.3214,1
49-3031,49-9071,102706.6454,26
49-3031,49-9091,3104.8814,1
49-3031,49-9096,4799.8119,1
49-3031,49-9098,4541.3399,1
49-3031,51-1011,11616.3668,4
49-3031,51-3099,3730.0278,1
49-3031,51-4041,3644.0047,2
49-3031,51-4111,2011.8948,1
49-3031,51-4199,4287.6166,1
49-3031,51-9061,2268.501,1
49-3031,51-9111,1819.9815,1
49-3031,53-5011,5590.656,1
49-3031,53-7051,8612.2248,2
49-3031,53-7061,14450.8611,3
49-3031,53-7062,14860.7109,8
49-3031,53-7065,11974.654700000001,3
49-9021,11-1011,9969.7837,2
49-9021,11-1021,12331.6532,4
49-9021,11-3051,5299.9807,1
49-9021,11-3071,8699.1519,3
49-9021,11-3121,1956.2004,1
49-9021,11-9013,4267.8994,1
49-9021,11-9021,16345.2481,5
49-9021,11-9041,5312.1458,1
49-9021,13-1041,4287.3926,1
49-9021,13-1081,4349.0184,1
49-9021,13-1111,3636.7007,1
49-9021,13-1121,4795.5878,1
49-9021,15-1211,5114.9143,1
49-9021,15-1253,6835.013800000001,2
49-9021,17-2141,17954.3269,4
49-9021,17-2199,2069.1936,1
49-9021,21-2011,1773.6329,1
49-9021,23-2011,3939.4362,1
49-9021,29-1123,4160.7282,2
49-9021,29-1129,1231.8844,1
49-9021,29-1141,3750.5906,1
49-9021,31-1122,2959.2617,2
49-9021,33-1012,2643.5206,1
49-9021,33-3051,4204.5775,1
49-9021,35-1011,5089.9531,1
49-9021,35-3031,6585.2101999999995,2
49-9021,37-1011,5327.6153,1
49-9021,37-1012,4836.196,1
49-9021,41-1012,807.9076,1
49-9021,41-2031,5240.0146,2
49-9021,43-3031,5003.4606,1
49-9021,43-4051,10954.0129,2
49-9021,43-4111,6055.4206,1
49-9021,43-5021,6286.1664,1
49-9021,43-5041,5491.0388,1
49-9021,43-5071,5126.6496,1
49-9021,43-9061,8784.3171,3
49-9021,43-9199,487.5987,1
49-9021,47-1011,31109.1087,7
49-9021,47-2011,5878.642,1
49-9021,47-2031,12885.6891,3
49-9021,47-2061,63943.6114,14
49-9021,47-2073,4786.3958,1
49-9021,47-2111,29385.9076,6
49-9021,47-2141,11700.6476,2
49-9021,47-2211,20013.8198,5
49-9021,47-4011,4264.3062,1
49-9021,49-1011,5278.3964,2
49-9021,49-2092,2600.5578,1
49-9021,49-3011,4959.1015,1
49-9021,49-3023,4132.8892000000005,2
49-9021,49-3031,7201.211,3
49-9021,49-9031,14822.4116,4
49-9021,49-9052,8146.1752,2
49-9021,49-9071,65371.4331,14
49-9021,51-1011,8266.8814,2
49-9021,51-4041,9229.875,2
49-9021,51-4199,12815.9903,3
49-9021,51-8021,16827.0924,5
49-9021,51-9061,3453.1202,1
49-9021,53-6051,1989.7739,1
49-9021,53-7051,3877.8487,1
49-9021,53-7062,11194.51,4
49-9021,53-7063,4835.2861,1
49-9021,53-7064,6144.1275,1
49-9021,53-7065,1868.3744,1
49-9021,53-7199,4846.3478,1
49-9031,41-1012,4804.7778,2
49-9031,41-2031,3992.0307,1
49-9031,47-2061,18438.988400000002,3
49-9031,47-2111,1520.4395,1
49-9031,49-2097,4071.1635,1
49-9031,49-9071,4363.3454,1
49-9031,51-9198,643.3729,1
49-9031,53-3099,3318.1761,1
49-9031,53-7061,5022.5684,1
49-9043,11-3031,2035.5367,1
49-9043,17-2199,5191.529,1
49-9043,35-9021,1302.5919,1
49-9043,49-9071,10362.1932,3
49-9043,49-9091,1095.4511,1
49-9043,51-4021,4035.902,1
49-9043,51-4041,2251.97,1
49-9043,51-4199,9147.5334,3
49-9043,51-6041,1234.6015,1
49-9043,53-7062,4579.3534,1
49-9044,11-9141,5471.3852,1
49-9044,13-2011,537.0637,1
49-9044,29-1141,4182.1707,1
49-9044,41-1011,745.5847,1
49-9044,41-3091,4463.8688,1
49-9044,43-1011,2192.8016,1
49-9044,43-4051,3783.7719,1
49-9044,47-2061,12668.3289,4
49-9044,47-2211,1660.9961,1
49-9044,49-2092,4887.7254,1
49-9044,49-3031,884.1751,1
49-9044,49-9071,864.0379,1
49-9044,51-1011,5042.4091,2
49-9044,51-4041,2060.0065,1
49-9044,51-5112,10432.4115,1
49-9044,53-7062,3122.8905,3
49-9044,53-7064,3706.1875,1
49-9044,53-7081,4453.2556,1
49-9051,11-3031,851.9046,1
49-9051,11-9021,3117.0909,1
49-9051,17-3031,2655.5745,1
49-9051,37-1012,1490.1447,1
49-9051,41-2031,970.6992,1
49-9051,43-1011,3291.2359,1
49-9051,43-5041,1641.0238,1
49-9051,43-5061,4724.628,1
49-9051,43-5071,4749.2728,1
49-9051,43-9061,3799.7218000000003,2
49-9051,47-2061,8397.9481,5
49-9051,47-2073,733.4671,1
49-9051,47-2111,70626.4245,21
49-9051,47-2141,2955.8168,2
49-9051,47-4011,4590.1476,1
49-9051,49-2097,4720.4307,1
49-9051,49-3023,7147.0147,2
49-9051,49-3031,2395.1603,1
49-9051,49-9052,13812.7615,3
49-9051,49-9071,3838.674,1
49-9051,51-1011,3303.4579,1
49-9051,51-4041,960.1151,1
49-9051,53-7062,9270.5369,3
49-9052,11-9021,14930.3531,4
49-9052,11-9051,6177.8943,1
49-9052,11-9081,4472.2674,1
49-9052,13-2081,4160.4684,1
49-9052,15-1241,1133.7469,1
49-9052,15-1242,3276.5419,1
49-9052,15-1244,1541.9663,1
49-9052,15-1253,14985.270400000001,4
49-9052,17-3031,4742.2636,2
49-9052,35-1012,3846.0933,1
49-9052,41-2031,5945.7835,1
49-9052,41-3091,1733.1367,1
49-9052,43-4051,13644.3335,3
49-9052,43-5021,3325.1075,1
49-9052,43-5052,6231.655,1
49-9052,43-5071,3057.6994,1
49-9052,43-9021,2652.3635,1
49-9052,43-9061,6064.1608,1
49-9052,43-9199,4227.175,1
49-9052,47-1011,12587.0516,3
49-9052,47-2061,12966.888500000001,4
49-9052,47-2073,1941.0927,1
49-9052,47-2111,22184.951,6
49-9052,47-2221,4782.163,1
49-9052,49-1011,8850.7552,2
49-9052,49-2091,595.0255,1
49-9052,49-2097,8182.6011,2
49-9052,49-9021,8146.1752,2
49-9052,49-9051,22835.666400000002,6
49-9052,51-1011,3704.858,1
49-9052,51-7011,413.3619,1
49-9052,51-9061,4668.8396,1
49-9052,53-3099,4333.1715,1
49-9052,53-7062,1632.9263,1
49-9071,11-1011,5255.17,1
49-9071,11-1021,10188.024,3
49-9071,11-3071,4074.4821,2
49-9071,11-9013,7653.116599999999,2
49-9071,11-9021,24361.8724,6
49-9071,11-9041,10273.2451,2
49-9071,11-9051,3145.8225,1
49-9071,11-9081,1643.2699,2
49-9071,11-9141,34148.8287,10
49-9071,11-9161,1412.6413,1
49-9071,13-1023,5271.7077,1
49-9071,13-1041,5597.6649,1
49-9071,13-1051,6050.5547,1
49-9071,13-1121,3804.885,1
49-9071,13-1199,6980.9649,5
49-9071,13-2011,4589.6399,1
49-9071,13-2041,7917.551,1
49-9071,13-2052,3823.2634,1
49-9071,13-2099,6537.5887,1
49-9071,15-1211,5965.491,2
49-9071,15-1253,17815.3339,5
49-9071,17-2031,4303.7425,1
49-9071,17-2051,10555.8297,2
49-9071,17-2141,7634.416700000001,2
49-9071,17-2199,4811.7342,1
49-9071,21-1093,611.9735,1
49-9071,27-2011,1451.6201,1
49-9071,29-1031,5078.9973,1
49-9071,29-1071,7036.0697,1
49-9071,29-1123,2994.9405,1
49-9071,29-1141,6655.469999999999,2
49-9071,31-1122,3652.5077,2
49-9071,31-9091,4920.0974,1
49-9071,31-9096,3711.9416,1
49-9071,35-1011,378.8386,1
49-9071,35-1012,4148.4643,1
49-9071,35-2021,5060.1591,2
49-9071,35-3031,21828.7351,5
49-9071,35-3041,12499.337899999999,3
49-9071,37-1011,15228.4228,5
49-9071,37-2012,819.9904,2
49-9071,39-2011,4781.6425,1
49-9071,39-2021,4649.2118,1
49-9071,39-5011,4679.3964,1
49-9071,39-5012,5568.8035,1
49-9071,41-1011,21689.8379,7
49-9071,41-1012,34287.2638,9
49-9071,41-2022,5404.6333,1
49-9071,41-2031,3037.1163,1
49-9071,41-3031,3756.8645,1
49-9071,41-3091,3156.7857,1
49-9071,41-9031,5776.2777,1
49-9071,41-9099,4550.6582,1
49-9071,43-1011,9178.5581,2
49-9071,43-2011,3300.5111,1
49-9071,43-3031,4021.5099,1
49-9071,43-3051,3773.3067,1
49-9071,43-4051,12897.7657,4
49-9071,43-4151,2758.1639,2
49-9071,43-4171,10207.8017,2
49-9071,43-5052,5248.7965,1
49-9071,43-5061,335.9968,1
49-9071,43-5071,4411.2142,3
49-9071,43-9021,9585.117900000001,2
49-9071,43-9061,11798.125100000001,3
49-9071,43-9199,5662.0693,1
49-9071,45-1011,3349.7795,1
49-9071,47-1011,16219.5545,6
49-9071,47-2031,53895.5754,12
49-9071,47-2061,125422.8944,34
49-9071,47-2073,18874.1338,4
49-9071,47-2111,13754.310300000001,4
49-9071,47-2141,16949.565300000002,3
49-9071,47-2211,2255.7093,1
49-9071,47-4021,3028.4942,1
49-9071,47-4051,1148.073,1
49-9071,47-4061,1528.5312,1
49-9071,49-1011,27154.4616,11
49-9071,49-2011,9955.5564,3
49-9071,49-2091,1532.4711,1
49-9071,49-3011,21684.7071,8
49-9071,49-3021,4242.764499999999,2
49-9071,49-3023,84879.199,19
49-9071,49-3031,46831.1339,14
49-9071,49-9021,69633.6551,16
49-9071,49-9031,1167.8114,1
49-9071,49-9043,5437.4883,3
49-9071,49-9091,5291.1179,1
49-9071,49-9098,2450.0983,1
49-9071,51-1011,8128.4468,3
49-9071,51-2041,4248.2188,1
49-9071,51-4041,7837.3197,3
49-9071,51-4199,3860.1013,1
49-9071,51-7011,3484.3415,1
49-9071,51-7021,4809.8393,1
49-9071,51-8021,17730.3746,5
49-9071,51-8031,11660.7191,2
49-9071,51-9061,16905.7805,6
49-9071,51-9111,4379.7739,1
49-9071,51-9196,3630.1933,1
49-9071,53-3099,2537.5784,1
49-9071,53-6031,8764.205899999999,3
49-9071,53-7021,6590.744299999999,2
49-9071,53-7061,18899.182399999998,4
49-9071,53-7062,60618.3834,15
